Country,Sum of Females  Life Expectancy,Sum of Life Expectancy  (both sexes),Sum of Males  Life Expectancy
Chad,57.19,55.24,53.36
Nigeria,54.94,54.64,54.33
South Sudan,,57.74,54.76
Lesotho,60.44,57.8,55.03
Central African Republic,59.56,57.67,55.51
Tanzania,70,67.21,64.4
Suriname,76.98,73.76,70.6
Dominican Republic,77.11,73.87,70.66
Curaçao,80.96,76.99,72.66
Brazil,79.15,76.02,72.95
Cabo Verde,79.37,76.22,73.05
Bangladesh,76.67,74.93,73.3
Saudi Arabia,81.33,,77.33
Taiwan,83.75,80.75,77.86
Albania,81.59,,77.92
Puerto Rico,85.38,81.9,78.28
Guadeloupe,85.65,82.24,78.35
Costa Rica,83.58,81,78.37
Oman,82.05,80.25,78.72
Slovenia,84.47,81.78,79.11
Germany,83.88,81.54,79.21
Finland,84.79,82.08,79.38
Chile,83.23,81.36,79.45
Kuwait,82,80.6,79.45
Martinique,85.73,82.74,79.45
Greece,84.46,82.03,79.5
United Kingdom,83.33,81.45,79.54
Portugal,85.25,82.55,79.68
Austria,84.45,82.12,79.75
Cyprus,83.8,81.82,79.84
